time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-23 00:00:00+00:00,0,0,6,3
2022-11-24 00:00:00+00:00,3,2,30,13
2022-11-25 00:00:00+00:00,2,2,4,2
2022-11-26 00:00:00+00:00,0,0,23,8
2022-11-27 00:00:00+00:00,1,1,6,4
2022-11-28 00:00:00+00:00,0,0,15,12
2022-11-29 00:00:00+00:00,1,1,18,10
2022-11-30 00:00:00+00:00,0,0,33,13
2022-12-01 00:00:00+00:00,0,0,43,9
2022-12-02 00:00:00+00:00,0,0,14,4
2022-12-03 00:00:00+00:00,1,1,8,4
2022-12-04 00:00:00+00:00,0,0,14,7
2022-12-05 00:00:00+00:00,0,0,29,10
2022-12-06 00:00:00+00:00,8,5,69,8
2022-12-07 00:00:00+00:00,7,5,15,7
2022-12-08 00:00:00+00:00,2,2,10,7
2022-12-09 00:00:00+00:00,4,4,5,5
2022-12-10 00:00:00+00:00,3,3,12,6
2022-12-11 00:00:00+00:00,2,2,18,6
2022-12-12 00:00:00+00:00,6,5,51,15
2022-12-13 00:00:00+00:00,2,2,39,15
2022-12-14 00:00:00+00:00,5,5,54,16
2022-12-15 00:00:00+00:00,3,3,35,14
2022-12-16 00:00:00+00:00,2,2,26,6
2022-12-17 00:00:00+00:00,3,3,18,7
2022-12-18 00:00:00+00:00,1,1,16,10
2022-12-19 00:00:00+00:00,4,4,17,9
2022-12-20 00:00:00+00:00,4,4,11,8
2022-12-21 00:00:00+00:00,2,2,18,7
2022-12-22 00:00:00+00:00,3,3,27,10
2022-12-23 00:00:00+00:00,4,4,30,8
2022-12-24 00:00:00+00:00,5,5,12,7
2022-12-25 00:00:00+00:00,3,3,9,3
2022-12-26 00:00:00+00:00,3,3,6,6
2022-12-27 00:00:00+00:00,2,2,21,11
2022-12-28 00:00:00+00:00,3,3,12,5
2022-12-29 00:00:00+00:00,2,2,14,9
2022-12-30 00:00:00+00:00,6,5,15,8
2022-12-31 00:00:00+00:00,4,4,0,0
2023-01-01 00:00:00+00:00,3,3,10,6
2023-01-02 00:00:00+00:00,2,2,20,3
